"Fecha","Abreviatura","Estado","positivos _COVID_19","Poblacion","Muertes_x_ millon","Vuelos","Ingreso_PerCapita","Gasto_Salud_PerCapita","Densidad _Poblacional","Desempleo","Partido","Sin_Salud","desempleo_2019"
"20200428","VA","    Virginia ","259","8517685","3.99169","98","60778","77","83.27925","0.033","Democrata","0.090","0.027"
"20200409","VA","    Virginia ","397","8517685","3.99169","135","60778","77","83.27925","0.033","Democrata","0.090","0.027"
"20200406","MD","    Maryland ","436","6042718","3.97172","281","66347","104","240.35313","0.033","Republicano","0.060","0.037"
"20200407","NV","    Nevada ","134","3034392","3.95466","321","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200402","NV","    Nevada ","179","3034392","3.95466","444","51296","46","10.67202","0.063","Democrata","0.110","0.04"
"20200420","ND","    North Dakota ","42","760077","3.94697","5","58246","113","4.25309","0.022","Republicano","0.080","0.041"
"20200428","OH","    Ohio ","429","11689442","3.93518","33","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200423","OH","    Ohio ","533","11689442","3.93518","42","51082","53","110.45542","0.055","Republicano","0.060","0.042"
"20200427","IL","    Illinois ","1980","12741080","3.92431","477","59725","73","88.60679","0.046","Democrata","0.070","0.037"
"20200418","IN","    Indiana ","487","6691878","3.88531","58","49128","53","72.11938","0.032","Republicano","0.080","0.032"
"20200423","CO","    Colorado ","431","5695564","3.86266","425","61854","101","21.21794","0.045","Democrata","0.080","0.031"
"20200417","PA","    Pennsylvania ","1706","12807060","3.82601","218","59341","57","110.51640","0.060","Democrata","0.060","0.043"
"20200417","NM","    New Mexico ","113","2095428","3.81784","43","44683","220","6.66993","0.059","Democrata","0.090","0.042"
"20200419","MD","    Maryland ","522","6042718","3.80623","171","66347","104","240.35313","0.033","Republicano","0.060","0.037"
"20200422","KY","    Kentucky ","142","4468402","3.80449","41","44591","87","43.69293","0.058","Democrata","0.060","0.047"
"20200410","KY","    Kentucky ","347","4468402","3.80449","66","44591","87","43.69293","0.058","Democrata","0.060","0.047"
"20200415","OK","    Oklahoma ","79","3943079","3.80413","39","48196","89","22.19450","0.031","Republicano","0.140","0.032"
"20200429","IA","    Iowa ","467","3156145","3.80211","25","53489","91","21.81632","0.037","Republicano","0.040","0.035"
"20200408","KS","    Kansas ","146","2911505","3.77811","21","54216","60","13.74942","0.031","Democrata","0.090","0.034"
"20200424","MN","    Minnesota ","243","5611179","3.74253","177","60436","85","27.20796","0.031","Democrata","0.050","0.039"
"20200423","MN","    Minnesota ","221","5611179","3.74253","182","60436","85","27.20796","0.031","Democrata","0.050","0.039"
"20200423","ME","    Maine ","30","1338404","3.73579","73","51477","99","16.75455","0.032","Democrata","0.080","0.033"
"20200403","WA","    Washington ","531","7535591","3.71570","331","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200402","WA","    Washington ","353","7535591","3.71570","330","65634","96","43.78098","0.051","Democrata","0.060","0.048"
"20200415","CO","    Colorado ","250","5695564","3.68708","423","61854","101","21.21794","0.045","Democrata","0.080","0.031"
"20200417","NH","    New Hampshire ","148","1356458","3.68607","21","64197","82","58.49777","0.026","Republicano","0.060","0.037"
"20200430","MS","    Mississippi ","246","2986530","3.68320","10","39840","85","24.57443","0.053","Republicano","0.120","0.037"
"20200429","MS","    Mississippi ","227","2986530","3.68320","9","39840","85","24.57443","0.053","Republicano","0.120","0.037"
